100 1485 
24 8 284
24 66 168
24 92 74
24 90 174
24 61 45
24 59 445
24 88 135
24 82 44
24 18 86
24 16 162
24 68 72
24 72 138
24 85 192
24 73 168
24 96 48
24 37 275
24 38 328
24 64 234
24 13 360
24 79 410
24 6 174
24 57 340
24 60 504
24 75 25
25 84 96
25 0 207
25 67 77
25 48 130
25 99 156
25 88 32
25 89 192
25 72 128
25 45 80
26 44 74
26 91 71
26 88 62
26 32 52
26 89 184
26 81 120
26 0 80
26 69 258
26 99 104
26 23 117
26 13 49
26 50 178
26 8 53
26 79 170
26 42 171
26 47 81
26 37 142
27 89 264
27 65 126
27 42 48
27 81 120
27 16 142
27 90 158
27 39 36
27 78 174
27 84 99
27 97 89
27 59 23
27 45 130
27 69 168
27 0 234
27 23 154
27 99 180
27 86 48
28 0 444
28 10 192
28 88 352
28 45 375
28 23 395
28 89 168
28 3 255
28 82 41
28 2 400
28 17 122
28 91 186
28 44 273
28 31 44
28 84 246
29 63 55
29 17 66
29 84 335
29 38 130
29 26 64
29 16 160
29 89 230
29 13 140
29 72 364
29 44 168
29 0 165
29 78 100
29 6 21
29 7 72
29 54 158
29 88 156
29 52 258
29 20 76
29 43 40
29 79 96
29 64 87
29 85 43
29 95 152
29 97 189
29 86 69
29 99 340
29 80 38
29 94 186
29 67 192
29 65 120
30 3 54
30 57 43
30 8 63
30 99 132
30 89 224
30 46 70
30 52 110
30 86 108
30 67 142
30 49 26
30 93 264
30 37 174
30 0 224
30 50 56
30 65 231
30 2 168
30 97 116
30 23 165
30 39 140
30 10 102
31 20 56
31 46 72
31 89 292
31 78 117
31 10 136
31 72 270
31 54 33
31 39 100
31 88 166
31 81 138
31 79 162
31 84 320
31 23 105
31 97 122
31 2 225
31 94 86
31 65 87
31 90 219
31 93 216
31 22 24
31 91 29
32 67 92
32 16 110
32 23 122
32 79 67
32 84 96
32 78 84
32 90 136
32 48 142
32 69 48
32 37 22
32 89 222
32 10 30
32 42 98
32 99 237
32 45 174
33 71 65
33 82 37
33 20 138
33 10 124
33 98 79
33 65 265
33 42 100
33 63 138
33 36 210
33 79 128
33 3 105
34 98 11
34 96 88
34 73 59
34 52 136
34 66 59
34 39 176
34 20 120
34 19 168
34 93 215
34 80 112
34 30 114
34 7 42
34 1 54
34 47 150
34 71 60
35 40 51
35 82 43
35 16 450
35 84 168
35 89 474
35 81 205
35 0 240
35 37 84
35 23 125
35 27 267
35 53 54
35 72 420
35 73 79
35 44 111
35 59 96
35 18 84
36 39 65
36 10 33
36 60 100
36 0 252
36 89 63
36 79 72
36 59 78
36 67 78
36 52 83
36 86 63
36 97 32
36 84 186
36 2 70
36 65 120
36 93 52
36 69 154
37 78 41
37 81 60
37 0 52
37 89 48
37 2 38
37 84 100
37 16 89
37 23 78
37 65 20
37 99 54
37 72 44
37 42 27
37 69 42
38 90 144
38 69 132
38 99 249
38 60 136
38 94 23
38 52 52
38 89 189
38 84 81
38 37 59
39 60 79
39 99 174
39 0 76
39 69 78
39 84 40
39 16 61
39 90 89
39 42 36
39 89 140
39 2 58
39 93 37
39 65 21
39 48 85
39 72 81
39 78 61
39 81 87
40 7 41
40 85 13
40 30 91
40 52 186
40 72 320
40 20 138
40 36 138
40 89 440
40 57 164
40 3 168
40 95 54
40 0 395
40 42 344
40 68 21
40 39 105
40 84 330
40 80 63
40 47 154
40 10 81
40 25 158
40 31 34
40 91 142
40 22 148
41 91 88
41 32 26
41 94 130
41 72 126
41 50 50
41 25 60
41 65 90
41 47 40
41 2 117
41 44 55
41 36 81
41 89 92
41 99 308
41 0 340
41 45 117
41 90 186
41 93 159
41 88 84
42 0 25
42 89 89
42 84 43
42 99 61
43 36 39
43 95 58
43 50 108
43 88 58
43 47 52
43 42 90
43 52 128
43 65 201
43 84 120
43 54 27
43 38 87
43 99 248
43 69 198
44 52 38
44 50 10
44 37 60
44 84 126
44 42 142
44 45 86
44 0 105
44 16 126
44 93 72
44 86 60
44 10 25
44 59 31
44 65 132
44 89 267
44 60 76
44 48 46
44 23 106
45 84 83
45 0 82
45 89 72
45 99 27
46 37 41
46 0 231
46 84 246
46 72 162
46 89 195
46 48 86
46 99 129
46 86 91
46 94 64
46 65 134
46 39 45
47 50 20
47 69 158
47 86 53
47 93 180
47 0 270
47 84 186
47 42 152
47 39 52
47 99 168
47 2 68
47 65 80
48 99 67
48 84 91
48 89 82
48 0 45
49 72 50
49 79 59
49 60 118
49 78 122
49 50 86
49 23 146
49 89 225
49 90 94
49 93 108
49 10 70
49 0 210
49 84 219
49 69 128
49 81 42
50 81 80
50 93 23
50 45 54
50 84 88
50 16 85
50 0 174
50 23 76
50 48 54
50 60 50
50 89 48
50 78 83
50 90 70
50 72 47
50 99 140
50 42 35
51 18 43
51 71 45
51 78 140
51 93 190
51 27 255
51 43 64
51 54 111
51 89 534
51 66 52
51 99 396
51 84 372
51 95 177
51 7 70
51 82 30
51 97 156
51 86 116
52 65 35
52 72 69
52 42 80
52 99 70
52 89 70
52 23 27
52 16 20
52 0 50
52 2 69
52 84 164
52 90 58
52 81 66
52 60 40
53 83 46
53 6 44
53 26 61
53 58 100
53 3 138
53 84 175
53 8 158
53 93 324
53 85 90
53 30 34
53 37 249
53 59 252
53 79 78
53 81 344
53 0 410
53 20 72
53 13 88
53 94 90
53 43 91
53 44 88
53 23 224
53 97 189
53 72 104
53 39 255
53 68 56
53 52 192
53 49 68
53 99 135
54 86 90
54 97 67
54 45 62
54 16 154
54 37 89
54 60 108
54 0 78
54 99 78
54 84 153
54 89 150
54 78 124
54 79 66
55 29 75
55 18 89
55 66 22
55 80 74
55 99 384
55 60 375
55 8 99
55 0 150
55 95 225
55 84 516
55 16 455
55 77 172
55 57 201
55 58 207
55 50 344
56 53 36
56 23 265
56 18 47
56 97 180
56 30 70
56 7 118
56 65 205
56 84 168
56 71 91
56 89 246
56 13 192
56 83 48
56 69 450
56 46 264
56 0 234
56 16 145
56 90 345
56 57 165
56 67 232
57 97 61
57 52 88
57 72 170
57 37 33
57 39 76
57 86 85
57 65 158
57 99 207
57 78 180
57 84 222
57 10 66
57 50 36
58 94 83
58 89 111
58 84 204
58 78 50
58 10 22
58 37 53
58 60 126
58 99 147
58 90 46
58 0 69
58 79 91
58 69 168
58 93 108
59 89 168
59 69 43
59 90 26
59 93 66
59 16 60
59 0 148
59 84 106
59 81 25
59 48 83
59 42 61
59 60 21
59 2 51
59 23 38
60 99 68
60 0 52
60 89 75
60 84 91
61 77 140
61 40 83
61 43 102
61 59 176
61 18 72
61 22 231
61 38 129
61 39 344
61 88 268
61 79 152
61 69 100
61 23 315
61 81 385
61 65 310
61 54 99
61 98 54
61 36 123
61 25 237
62 42 290
62 26 124
62 90 345
62 18 76
62 0 180
62 31 112
62 67 344
62 78 260
62 99 306
62 29 73
62 10 224
62 82 58
62 17 82
63 13 20
63 65 219
63 0 252
63 86 114
63 89 116
63 59 66
63 50 110
63 90 117
63 60 93
63 44 43
63 42 102
63 8 41
63 49 57
63 3 21
63 72 87
64 86 90
64 57 20
64 39 132
64 90 261
64 84 92
64 99 296
64 0 176
64 88 178
64 50 90
64 3 61
64 89 304
64 93 201
65 89 33
65 99 60
65 0 69
65 84 56
66 4 98
66 13 174
66 30 55
66 84 355
66 43 24
66 50 135
66 85 69
66 37 153
66 64 63
66 16 164
66 31 58
66 25 140
66 10 111
66 95 96
66 52 156
66 86 207
66 32 84
66 54 118
66 91 132
66 26 74
66 46 166
67 90 67
67 65 25
67 99 84
67 0 128
67 78 42
67 42 60
67 45 34
67 84 68
67 93 57
67 89 140
67 16 72
67 81 56
67 23 57
67 72 88
68 89 356
68 59 86
68 23 252
68 60 126
68 39 74
68 90 93
68 69 96
68 52 48
68 99 336
68 20 42
68 2 189
68 10 66
68 45 114
68 91 77
69 89 38
69 84 68
69 0 55
69 99 89
70 73 51
70 79 172
70 7 134
70 52 240
70 39 300
70 25 252
70 53 81
70 0 516
70 69 340
70 83 140
70 50 180
70 22 96
70 15 182
70 81 455
70 88 136
70 40 83
71 31 26
71 8 92
71 77 46
71 47 152
71 67 63
71 50 141
71 4 64
71 25 54
71 37 87
71 2 204
71 16 160
71 99 290
71 84 340
71 89 140
71 10 75
71 52 90
71 65 292
71 22 144
71 81 244
71 79 222
71 90 268
72 84 59
72 0 83
72 89 69
73 32 182
73 0 270
73 64 40
73 42 80
73 90 348
73 46 162
73 89 145
73 72 308
73 23 176
73 85 76
73 27 176
73 81 332
73 45 96
74 96 54
74 82 30
74 83 176
74 30 170
74 49 63
74 99 258
74 97 288
74 10 248
74 23 455
74 37 248
74 90 310
74 89 474
74 53 70
74 64 98
74 22 135
74 13 75
74 27 90
74 45 225
75 84 522
75 10 284
75 65 245
75 86 292
75 64 130
75 45 260
75 68 126
75 71 86
75 8 216
75 85 60
75 60 175
75 48 310
75 26 46
75 97 112
75 0 360
75 23 410
75 49 120
75 73 77
75 27 126
75 80 56
75 81 450
76 62 70
76 33 42
76 55 76
76 75 57
76 34 89
76 11 19
76 74 19
76 92 76
76 10 215
76 41 252
76 79 340
76 73 40
76 39 285
76 16 366
76 25 308
76 31 108
76 84 413
76 66 76
76 56 33
76 89 147
76 21 77
76 59 165
76 29 118
76 54 292
76 3 212
76 86 310
76 18 76
76 32 80
76 82 176
76 96 136
76 1 158
76 87 87
76 22 196
76 94 195
76 99 203
76 6 159
76 71 156
76 19 177
76 42 432
76 4 328
76 80 240
76 60 318
76 85 153
76 88 270
76 67 115
76 0 259
76 77 204
76 78 234
76 36 360
76 65 276
76 70 36
76 12 69
76 44 296
76 52 180
76 64 171
76 91 280
76 83 147
76 13 124
76 98 120
76 81 546
76 37 370
76 38 84
76 57 316
76 46 364
76 97 360
76 63 120
76 48 246
77 4 83
77 89 352
77 60 63
77 57 76
77 84 188
77 99 244
77 59 70
77 0 348
77 52 42
77 13 89
77 20 70
77 8 28
77 78 234
78 0 50
78 99 49
78 89 61
78 84 37
79 45 67
79 16 77
79 99 120
79 89 118
79 0 68
79 81 82
79 60 89
79 84 180
79 72 64
79 78 46
79 69 39
79 90 60
79 42 80
79 2 56
79 65 73
80 47 27
80 57 56
80 99 220
80 72 126
80 39 90
80 65 123
80 20 49
80 13 88
80 90 207
80 88 74
80 4 49
80 50 168
80 36 72
80 95 50
80 84 236
80 79 174
80 89 200
80 91 45
80 60 135
81 0 27
81 84 53
81 99 70
81 89 28
82 68 39
82 41 86
82 6 69
82 91 56
82 23 256
82 39 111
82 63 48
82 59 201
82 72 296
82 8 166
82 67 102
82 16 116
82 7 69
82 46 54
82 60 364
82 94 102
82 0 445
82 44 64
82 2 132
82 89 430
82 84 130
82 50 153
83 22 41
83 38 11
83 93 99
83 60 78
83 50 182
83 52 150
83 65 153
83 84 112
83 95 52
83 10 124
83 79 42
83 99 316
83 2 132
83 27 61
83 37 174
83 89 340
83 0 176
83 49 52
83 78 147
85 54 78
85 25 51
85 58 33
85 88 94
85 50 106
85 89 320
85 81 69
85 84 196
85 0 184
85 8 74
85 79 60
85 47 55
85 97 136
85 67 146
85 48 216
85 93 108
85 10 174
85 32 57
85 95 49
86 48 16
86 42 69
86 16 52
86 45 26
86 0 90
86 99 88
86 84 44
86 60 69
86 65 30
86 89 102
86 78 28
87 65 200
87 47 165
87 86 140
87 89 384
87 37 244
87 73 52
87 40 82
87 60 280
87 0 204
87 8 228
87 68 174
87 46 174
87 41 134
87 25 210
88 2 33
88 69 25
88 99 116
88 72 23
88 84 170
88 0 82
88 90 89
88 78 58
88 89 154
88 42 43
88 60 54
90 0 60
90 99 56
90 84 30
90 89 27
91 10 42
91 59 41
91 39 44
91 88 36
91 84 237
91 60 72
91 0 264
91 69 136
91 2 120
91 23 166
92 53 82
92 49 108
92 69 175
92 36 102
92 98 43
92 26 122
92 18 42
92 79 276
92 17 134
92 84 300
92 99 522
92 43 124
92 3 87
92 82 43
92 52 124
92 88 300
92 15 180
92 38 198
92 80 120
93 0 54
93 99 67
93 84 62
93 89 54
94 99 84
94 0 154
94 60 21
94 48 70
94 72 34
94 65 47
94 84 42
94 89 132
94 2 40
94 45 54
94 93 20
94 81 54
94 23 54
94 78 72
94 16 74
94 69 57
95 37 30
95 89 129
95 84 216
95 0 102
95 48 52
95 59 90
95 10 27
95 39 79
95 99 78
96 15 43
96 60 172
96 37 177
96 41 50
96 31 54
96 0 180
96 84 195
96 26 32
96 44 152
96 59 174
96 89 160
96 27 92
96 67 162
96 99 380
96 54 156
96 13 176
96 23 244
96 4 66
96 25 150
96 43 88
97 72 81
97 23 31
97 42 53
97 81 54
97 93 44
97 45 59
97 78 55
97 16 54
97 0 150
97 90 26
97 99 100
97 60 61
97 48 26
97 89 42
97 84 78
98 65 304
98 38 168
98 84 185
98 68 64
98 0 400
98 13 170
98 85 43
98 20 130
98 50 264
98 32 62
98 15 44
98 17 46
98 90 340
98 42 324
98 81 356
98 97 183
98 89 275
98 4 92
98 64 66
98 23 216
98 22 146
98 27 72
98 88 210
98 77 32
98 63 70
98 44 146
98 93 128
98 99 275
98 10 189
98 78 132
98 31 68
98 48 172
98 19 54
